read_start,read_end
5248016,5248116
5248017,5248117
5248017,5248117
5248020,5248120
5248020,5248054
5248020,5248120
5248023,5248123
5248023,5248123
5248024,5248124
5248024,5248124
5248029,5248129
5248030,5248130
5248030,5248130
5248031,5248131
5248032,5248132
5248032,5248132
5248035,5248135
5248035,5248135
5248041,5248141
5248043,5248143
5248043,5248143
5248043,5248143
5248045,5248145
5248046,5248146
5248047,5248147
5248049,5248149
5248049,5248149
5248050,5248140
5248050,5248150
5248051,5248151
5248052,5248152
5248055,5248155
5248056,5248156
5248057,5248111
5248059,5248159
5248060,5248160
5248064,5248164
5248064,5248164
5248064,5248164
5248064,5248164
5248066,5248166
5248068,5248168
5248069,5248169
5248070,5248170
5248070,5248170
5248071,5248170
5248073,5248173
5248073,5248173
5248073,5248173
5248074,5248174
5248074,5248174
5248075,5248175
5248075,5248175
5248076,5248176
5248077,5248176
5248077,5248177
5248078,5248178
5248078,5248178
5248079,5248179
5248079,5248176
5248080,5248180
5248080,5248180
5248080,5248180
5248080,5248180
5248080,5248180
5248082,5248182
5248082,5248174
5248083,5248183
5248085,5248185
5248085,5248185
5248085,5248185
5248086,5248186
5248086,5248186
5248089,5248189
5248089,5248189
5248089,5248189
5248089,5248189
5248090,5248190
5248091,5248191
5248091,5248191
5248092,5248192
5248094,5248192
5248095,5248195
5248095,5248195
5248096,5248196
5248096,5248196
5248096,5248196
5248098,5248198
5248099,5248199
5248099,5248199
5248099,5248199
5248100,5248200
5248100,5248200
5248101,5248201
5248101,5248201
5248101,5248201
5248101,5248201
5248103,5248203
5248103,5248201
5248103,5248203
5248103,5248203
5248104,5248204
5248106,5248206
5248106,5248206
5248108,5248188
5248109,5248209
5248109,5248209
5248110,5248210
5248110,5248210
5248111,5248211
5248113,5248213
5248113,5248213
5248114,5248214
5248117,5248217
5248118,5248218
5248118,5248218
5248119,5248219
5248119,5248219
5248119,5248219
5248119,5248219
5248120,5248220
5248123,5248223
5248123,5248223
5248123,5248223
5248125,5248225
5248126,5248226
5248127,5248227
5248127,5248227
5248127,5248227
5248128,5248228
5248128,5248228
5248128,5248228
5248128,5248228
5248128,5248228
5248128,5248220
5248129,5248229
5248130,5248230
5248131,5248231
5248132,5248232
5248133,5248233
5248133,5248233
5248134,5248234
5248134,5248234
5248134,5248234
5248135,5248235
5248137,5248237
5248137,5248193
5248137,5248237
5248137,5248237
5248138,5248238
5248138,5248238
5248139,5248239
5248141,5248241
5248141,5248241
5248142,5248242
5248143,5248243
5248143,5248243
5248145,5248219
5248147,5248247
5248148,5248248
5248151,5248251
5248152,5248252
5248153,5248253
5248153,5248253
5248153,5248253
5248155,5248189
5248156,5248256
5248157,5248257
5248158,5248258
5248158,5248258
5248159,5248259
5248160,5248255
5248162,5248262
5248165,5248265
5248165,5248265
5248168,5248267
5248168,5248268
5248168,5248268
5248169,5248269
5248170,5248270
5248170,5248270
5248170,5248270
5248170,5248270
5248172,5248272
5248174,5248274
5248174,5248274
5248174,5248274
5248175,5248275
5248175,5248275
5248175,5248275
5248176,5248276
5248176,5248276
5248176,5248276
5248180,5248280
5248180,5248280
5248181,5248281
5248182,5248254
5248183,5248283
5248183,5248283
5248185,5248285
5248186,5248286
5248186,5248286
5248187,5248287
5248190,5248290
5248191,5248291
5248191,5248291
5248191,5248291
5248191,5248291
5248191,5248291
5248192,5248277
5248195,5248295
5248196,5248296
5248196,5248296
5248197,5248297
5248199,5248299
5248199,5248299
5248199,5248299
5248200,5248300
5248200,5248300
5248200,5248245
5248202,5248302
5248202,5248302
5248203,5248303
5248203,5248296
5248203,5248303
5248204,5248303
5248205,5248305
5248210,5248310
5248210,5248310
5248210,5248310
5248210,5248310
5248212,5248312
5248213,5248313
5248214,5248300
5248214,5248314
5248214,5248314
5248215,5248315
5248215,5248315
5248216,5248316
5248217,5248317
5248218,5248318
5248219,5248319
5248222,5248322
5248223,5248323
5248223,5248318
5248227,5248327
5248229,5248329
5248229,5248329
5248229,5248329
5248238,5248338
5248240,5248340
5248241,5248341
5248242,5248342
5248246,5248346
5248249,5248349
5248250,5248350
5248253,5248353
5248265,5248365
5248271,5248371
5248276,5248376
5248278,5248378
5248281,5248381
5248293,5248393
5248294,5248394
5248298,5248398
5248300,5248400
5248301,5248401
5248310,5248369
5248315,5248412
5248322,5248422
5248326,5248426
5248329,5248429
5248342,5248442
5248357,5248457
5248407,5248507
5248419,5248519
5248532,5248621
5249345,5249445
5249367,5249467
5250548,5250648
5250575,5250675
